stage,suite,task,seed,cond,repeat,dir,success,turns,planner_calls,tokens,perc,act,maxred,env_steps,reason,wall_s
P0,libero_spatial_task,0,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:39:42_libero_spatial_task_t0_s1/,False,11,11,539173,7,0,3,0,infra_crash,496.0
P0,libero_spatial_task,0,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:47:59_libero_spatial_task_t0_s2/,False,40,40,3554425,25,9,9,9,placement_fail,633.0
P0,libero_spatial_task,0,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:58:33_libero_spatial_task_t0_s3/,False,40,40,3735206,30,9,15,9,placement_fail,836.0
P0,libero_spatial_task,0,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:55:29_libero_spatial_task_t0_s4/,False,40,40,3560578,25,10,10,10,placement_fail,853.0
P0,libero_spatial_task,0,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:58:33_libero_spatial_task_t0_s5/,False,40,40,2470105,21,12,4,12,placement_fail,540.0
P0,libero_spatial_task,0,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:01:06_libero_spatial_task_t0_s6/,True,40,40,3585319,21,10,6,10,success,637.0
P0,libero_spatial_task,0,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:03:28_libero_spatial_task_t0_s7/,False,15,15,951738,8,0,6,0,infra_crash,436.0
P0,libero_spatial_task,0,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:07:35_libero_spatial_task_t0_s8/,True,40,40,3456665,27,9,10,9,success,507.0
P0,libero_spatial_task,0,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:09:43_libero_spatial_task_t0_s9/,True,36,36,3164678,22,9,7,9,success,536.0
P0,libero_spatial_task,0,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:10:45_libero_spatial_task_t0_s10/,True,30,30,2230819,16,10,5,10,success,640.0
P0,libero_spatial_task,7,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s1/,True,40,40,3601092,26,13,7,13,success,1052.0
P0,libero_spatial_task,7,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s2/,True,37,37,3426523,19,10,8,10,success,743.0
P0,libero_spatial_task,7,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:33:48_libero_spatial_task_t7_s3/,False,40,40,3601406,28,11,12,11,grasp_fail,606.0
P0,libero_spatial_task,7,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:36:55_libero_spatial_task_t7_s4/,False,40,40,2964238,32,8,14,8,grasp_fail,672.0
P0,libero_spatial_task,7,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:38:33_libero_spatial_task_t7_s5/,False,40,40,3052030,28,14,14,14,placement_fail,760.0
P0,libero_spatial_task,7,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:42_libero_spatial_task_t7_s6/,True,38,38,3066372,21,12,8,12,success,799.0
P0,libero_spatial_task,7,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:55_libero_spatial_task_t7_s7/,True,40,40,3615249,28,12,9,12,success,750.0
P0,libero_spatial_task,7,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:48:08_libero_spatial_task_t7_s8/,False,40,40,3147354,30,11,13,11,grasp_fail,725.0
