ts,stage,suite,task,seed,cond,repeat,dir,rc,wall_s,result
20260812-23:39:4,SM1,libero_spatial_task,0,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:39:42_libero_spatial_task_t0_s1/,0,,policy_fail
20260812-23:47:5,SM1,libero_spatial_task,0,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:47:59_libero_spatial_task_t0_s2/,0,,policy_fail
20260812-23:58:3,SM1,libero_spatial_task,0,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260812-23:58:33_libero_spatial_task_t0_s3/,0,,policy_fail
20260813-12:55:2,SM1,libero_spatial_task,0,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:55:29_libero_spatial_task_t0_s4/,0,,policy_fail
20260813-12:58:3,SM1,libero_spatial_task,0,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-12:58:33_libero_spatial_task_t0_s5/,0,,policy_fail
20260813-13:01:0,SM1,libero_spatial_task,0,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:01:06_libero_spatial_task_t0_s6/,0,,success
20260813-13:03:2,SM1,libero_spatial_task,0,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:03:28_libero_spatial_task_t0_s7/,0,,policy_fail
20260813-13:07:3,SM1,libero_spatial_task,0,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:07:35_libero_spatial_task_t0_s8/,0,,success
20260813-13:09:4,SM1,libero_spatial_task,0,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:09:43_libero_spatial_task_t0_s9/,0,,success
20260813-13:10:4,SM1,libero_spatial_task,0,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-13:10:45_libero_spatial_task_t0_s10/,0,,success
20260814-18:26:0,SM1,libero_spatial_task,7,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s1/,0,,success
20260814-18:26:0,SM1,libero_spatial_task,7,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:26:09_libero_spatial_task_t7_s2/,0,,success
20260814-18:33:4,SM1,libero_spatial_task,7,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:33:48_libero_spatial_task_t7_s3/,0,,policy_fail
20260814-18:36:5,SM1,libero_spatial_task,7,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:36:55_libero_spatial_task_t7_s4/,0,,policy_fail
20260814-18:38:3,SM1,libero_spatial_task,7,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:38:33_libero_spatial_task_t7_s5/,0,,policy_fail
20260814-18:43:4,SM1,libero_spatial_task,7,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:42_libero_spatial_task_t7_s6/,0,,policy_fail
20260814-18:43:5,SM1,libero_spatial_task,7,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:43:55_libero_spatial_task_t7_s7/,0,,policy_fail
20260814-18:48:0,SM1,libero_spatial_task,7,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:48:08_libero_spatial_task_t7_s8/,0,,policy_fail
20260814-18:51:1,SM1,libero_spatial_task,7,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:51:14_libero_spatial_task_t7_s9/,0,,policy_fail
20260814-14:09:4,SM1,libero_spatial_task,7,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-14:09:41_libero_spatial_task_t7_s10/,0,,success
20260813-15:38:2,SM1,libero_spatial_task,9,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:38:25_libero_spatial_task_t9_s1/,0,,policy_fail
20260813-15:38:5,SM1,libero_spatial_task,9,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:38:56_libero_spatial_task_t9_s2/,0,,success
20260813-15:42:4,SM1,libero_spatial_task,9,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:42:48_libero_spatial_task_t9_s3/,0,,policy_fail
20260813-15:52:3,SM1,libero_spatial_task,9,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:52:31_libero_spatial_task_t9_s4/,0,,success
20260813-15:53:3,SM1,libero_spatial_task,9,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:53:34_libero_spatial_task_t9_s5/,0,,success
20260813-15:53:3,SM1,libero_spatial_task,9,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:53:36_libero_spatial_task_t9_s6/,0,,policy_fail
20260813-15:56:1,SM1,libero_spatial_task,9,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:56:15_libero_spatial_task_t9_s7/,0,,success
20260813-16:06:4,SM1,libero_spatial_task,9,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:06:42_libero_spatial_task_t9_s8/,0,,policy_fail
20260813-16:07:1,SM1,libero_spatial_task,9,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:07:13_libero_spatial_task_t9_s9/,0,,success
