src,cond,task,seed,repeat,run_id,success,result,mechanism,turns,n_picks,hold_turn,n_release,rel_fails,first_release_turn,stall_span,moves_after_hold,perc_after_hold,guard_blocks,near_repeat_rate
pg,hardcap,0,5,2,20260817-16:26:02_hardcap_libero_spatial_task_t0_s5_r2,False,policy_fail,place_fail,40,2,14,2,2,25,11,7,15,2,0.0
pg,hardcap,0,4,2,20260817-16:24:25_hardcap_libero_spatial_task_t0_s4_r2,False,policy_fail,place_fail,40,2,31,1,1,26,-5,4,4,1,0.0
pg,hardcap,0,6,2,20260817-16:31:05_hardcap_libero_spatial_task_t0_s6_r2,True,success,success,28,1,17,1,0,26,9,3,4,0,0.0
pg,hardcap,0,7,1,20260817-16:37:43_hardcap_libero_spatial_task_t0_s7_r1,False,policy_fail,no_pick,13,0,,0,0,,,0,0,0,
pg,hardcap,0,6,3,20260817-16:33:01_hardcap_libero_spatial_task_t0_s6_r3,False,policy_fail,place_fail,40,1,21,1,1,37,16,5,11,3,0.0
pg,hardcap,0,8,2,20260817-16:40:36_hardcap_libero_spatial_task_t0_s8_r2,True,success,success,30,1,20,1,0,28,8,3,3,1,0.0
pg,hardcap,0,7,2,20260817-16:38:36_hardcap_libero_spatial_task_t0_s7_r2,False,policy_fail,place_stall,40,1,24,0,0,,,5,10,2,0.15
pg,hardcap,0,8,1,20260817-16:40:06_hardcap_libero_spatial_task_t0_s8_r1,True,success,success,24,1,14,1,0,21,7,4,2,1,0.0
pg,hardcap,0,8,3,20260817-16:41:52_hardcap_libero_spatial_task_t0_s8_r3,False,policy_fail,place_fail,40,1,23,1,1,37,14,4,11,1,0.0
pg,hardcap,0,9,1,20260817-16:41:55_hardcap_libero_spatial_task_t0_s9_r1,False,policy_fail,place_stall,40,1,20,0,0,,,4,15,2,0.0
pg,hardcap,0,9,2,20260817-16:47:33_hardcap_libero_spatial_task_t0_s9_r2,True,success,success,36,1,20,1,1,30,10,4,8,1,0.12
pg,hardcap,0,9,3,20260817-16:48:50_hardcap_libero_spatial_task_t0_s9_r3,True,success,success,34,1,22,1,0,31,9,3,5,2,0.0
pg,hardcap,0,10,1,20260817-16:50:31_hardcap_libero_spatial_task_t0_s10_r1,True,success,success,31,1,18,1,0,29,11,3,6,0,0.0
pg,hardcap,0,10,3,20260817-16:51:56_hardcap_libero_spatial_task_t0_s10_r3,False,success,place_partial,40,1,27,1,0,39,12,3,8,3,0.0
