task,seed,cond,repeat,dir,success,turns,planner_calls,tokens,perc,act,maxred,env_steps,wall_s,final_phase,injections,injection_tokens_approx,fired_rules,n_fired,recovery_success,recovery_fail,mem_reads,off_phase_actions,phase_regressions,finish_called
9,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:56:15_libero_spatial_task_t9_s7/,True,40,40,3339656,25,10,6,10,1132.0,P_place,6,280,"[""R1"", ""R9"", ""R5""]",3,1,2,1,9,0,False
9,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:06:42_libero_spatial_task_t9_s8/,False,40,40,3844106,20,12,8,12,1166.0,P_place,5,243,"[""R1"", ""R5"", ""R9""]",3,1,2,1,10,0,False
9,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:07:13_libero_spatial_task_t9_s9/,True,32,32,2754006,16,10,9,10,758.0,P_place,6,227,"[""R1"", ""R5""]",2,1,1,1,7,0,True
9,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:08:46_libero_spatial_task_t9_s10/,True,40,40,3692132,24,12,8,12,1149.0,P_place,6,280,"[""R1"", ""R9"", ""R5""]",3,1,2,1,9,0,False
0,3,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s3_r1,True,22,22,1713826,9,9,6,8,478.0,P_place,5,155,"[""R1""]",1,1,0,1,8,0,True
0,5,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s5_r1,True,21,21,1373300,16,7,6,7,600.0,P_grasp,4,137,"[""R1""]",1,1,0,1,5,0,True
0,4,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s4_r1,False,40,40,2323557,26,15,10,15,754.0,P_place,6,224,"[""R1"", ""R9""]",2,1,1,1,13,0,False
0,2,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s2_r1,True,40,40,3649173,23,8,4,8,756.0,P_verify,8,362,"[""R8"", ""R1"", ""R9"", ""R7""]",4,2,2,2,6,0,False
0,6,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s6_r1,True,22,22,1221355,14,8,4,8,769.0,P_place,5,155,"[""R1""]",1,1,0,1,5,0,True
0,7,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s7_r1,True,35,35,3177002,28,8,14,8,771.0,P_grasp,5,230,"[""R1"", ""R9""]",2,2,0,1,6,0,True
0,1,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s1_r1,False,12,12,513437,11,2,4,2,822.0,P_transport,3,117,"[""R1""]",1,1,0,1,1,0,False
0,8,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:51:59_structured_libero_spatial_task_t0_s8_r1,False,40,40,2418036,20,16,4,16,998.0,P_verify,7,294,"[""R1"", ""R7"", ""R9""]",3,3,0,2,19,0,True
0,10,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:02:01_structured_libero_spatial_task_t0_s10_r1,True,24,24,1584044,14,8,8,8,452.0,P_place,6,173,"[""R1""]",1,1,0,1,6,0,True
0,9,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-15:59:58_structured_libero_spatial_task_t0_s9_r1,False,40,40,3458197,31,7,11,7,674.0,P_grasp,5,206,"[""R1"", ""R9""]",2,1,1,1,3,0,False
7,6,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:08:38_structured_libero_spatial_task_t7_s6_r1,True,29,29,2440442,11,10,5,9,493.0,P_place,5,155,"[""R1""]",1,1,0,1,8,0,True
7,1,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:04:34_structured_libero_spatial_task_t7_s1_r1,True,33,33,1733361,17,15,6,15,771.0,P_verify,6,224,"[""R1"", ""R7""]",2,2,0,1,16,0,True
7,3,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:04:49_structured_libero_spatial_task_t7_s3_r1,True,37,37,2229653,19,16,7,16,940.0,P_place,6,224,"[""R1"", ""R9""]",2,2,0,1,14,0,True
7,2,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:04:37_structured_libero_spatial_task_t7_s2_r1,True,31,31,2202002,20,9,5,9,1026.0,P_place,5,155,"[""R1""]",1,1,0,1,7,0,True
7,5,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:05:43_structured_libero_spatial_task_t7_s5_r1,False,40,40,3999165,19,15,4,15,993.0,P_place,7,367,"[""R1"", ""R4"", ""R9""]",3,2,1,1,10,0,False
7,4,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:04:52_structured_libero_spatial_task_t7_s4_r1,False,40,40,4045996,16,18,7,14,1090.0,P_place,7,242,"[""R1"", ""R9""]",2,2,0,3,12,0,True
7,8,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:11:13_structured_libero_spatial_task_t7_s8_r1,False,40,40,3702892,20,14,4,14,862.0,P_verify,7,293,"[""R1"", ""R9"", ""R7""]",3,3,0,1,12,0,True
7,9,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:16:53_structured_libero_spatial_task_t7_s9_r1,True,36,36,3356223,16,12,5,12,666.0,P_place,6,251,"[""R1"", ""R9""]",2,2,0,1,9,0,True
7,7,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:09:33_structured_libero_spatial_task_t7_s7_r1,False,40,40,3475251,22,21,7,21,1111.0,P_place,7,299,"[""R1"", ""R4"", ""R9""]",3,2,1,1,14,0,False
7,10,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:17:27_structured_libero_spatial_task_t7_s10_r1,True,40,40,3143917,16,18,4,18,766.0,P_place,6,226,"[""R1"", ""R9""]",2,2,0,1,14,0,True
9,4,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:23:02_structured_libero_spatial_task_t9_s4_r1,True,18,18,1081184,10,7,4,7,453.0,P_place,5,209,"[""R1"", ""R5""]",2,1,1,1,6,0,True
9,2,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:21:43_structured_libero_spatial_task_t9_s2_r1,True,29,29,1714248,14,9,4,9,698.0,P_place,5,209,"[""R1"", ""R5""]",2,1,1,1,8,0,True
9,5,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:25:37_structured_libero_spatial_task_t9_s5_r1,True,17,17,979618,9,7,6,7,531.0,P_place,5,209,"[""R1"", ""R5""]",2,1,1,1,6,0,True
9,3,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:22:16_structured_libero_spatial_task_t9_s3_r1,False,39,39,3453073,19,13,5,13,815.0,P_verify,7,347,"[""R1"", ""R5"", ""R9"", ""R7""]",4,4,0,1,12,0,True
9,1,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:20:31_structured_libero_spatial_task_t9_s1_r1,True,40,40,2433398,18,22,6,22,1035.0,P_verify,6,270,"[""R5"", ""R7"", ""R9""]",3,1,2,1,23,0,False
9,6,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:27:59_structured_libero_spatial_task_t9_s6_r1,True,31,31,2806714,12,8,3,8,673.0,P_place,4,175,"[""R5""]",1,0,1,2,6,0,True
9,9,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:30:37_structured_libero_spatial_task_t9_s9_r1,True,32,32,2876492,23,9,7,9,664.0,P_place,6,276,"[""R8"", ""R1"", ""R5""]",3,2,1,4,7,0,True
9,8,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:30:14_structured_libero_spatial_task_t9_s8_r1,False,40,40,2462680,25,24,15,24,733.0,P_verify,7,348,"[""R1"", ""R5"", ""R7"", ""R9""]",4,2,2,1,27,0,False
7,2,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:34:28_baseline_libero_spatial_task_t7_s2_r2,True,33,33,2859625,18,7,8,7,628.0,P_place,5,155,"[""R1""]",1,1,0,1,5,0,True
9,7,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:28:06_structured_libero_spatial_task_t9_s7_r1,True,38,38,3007790,16,20,5,20,1023.0,P_verify,7,348,"[""R1"", ""R5"", ""R7"", ""R9""]",4,4,0,1,20,0,True
9,9,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:37:46_baseline_libero_spatial_task_t9_s9_r2,True,39,39,3499643,17,9,8,9,622.0,P_place,7,347,"[""R8"", ""R1"", ""R9"", ""R5""]",4,3,1,5,8,0,True
0,5,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:35:53_baseline_libero_spatial_task_t0_s5_r2,True,35,35,3243180,18,10,4,10,896.0,P_place,6,224,"[""R1"", ""R9""]",2,2,0,1,7,0,True
9,10,structured,1,/hw-tbo/yjx/workspace/RPent/logs/sm_exp/20260818-16:33:23_structured_libero_spatial_task_t9_s10_r1,False,40,40,3650954,19,16,7,16,1139.0,P_verify,7,348,"[""R1"", ""R5"", ""R7"", ""R9""]",4,4,0,1,16,0,True
